output_name,epoch,time,load_1,load_5,load_15,memory_free,cpu-user,cpu-system,cpu-steal,cpu-softirq,cpu-nice,cpu-irq,cpu-iowait,cpu-idle,cpu_percentage
dafav1,1678093503,2023-03-06 16:05:03 ,4.18,4.43,4.44,250368000.0,978567.81,12276.24,837.2,6524.06,125.03,0.0,101.1,784619.51,78.65116683111562
dafav1,1678093623,2023-03-06 16:07:03 ,4.27,4.43,4.44,239759360.0,979013.22,12297.369999999999,837.34,6537.389999999999,125.03,0.0,101.1,784619.51,78.61335166784359
dafav1,1678093743,2023-03-06 16:09:03 ,4.48,4.39,4.42,202416128.0,979467.63,12312.54,837.45,6547.74,125.03,0.0,101.1,784619.51,78.57556812849107
dafav1,1678093863,2023-03-06 16:11:03 ,4.26,4.43,4.43,229810176.0,979933.22,12320.84,838.47,6552.83,125.03,0.0,101.1,784619.51,78.53789557426241
dafav1,1678093983,2023-03-06 16:13:03 ,5.41,4.87,4.6,241598464.0,980375.9099999999,12343.460000000001,838.68,6567.36,125.03,0.0,101.1,784619.51,78.50019158332792
dafav1,1678094103,2023-03-06 16:15:03 ,4.74,4.72,4.57,193622016.0,980834.21,12356.79,838.8,6575.629999999999,125.03,0.0,101.1,784619.51,78.46251906863806
dafav1,1678094223,2023-03-06 16:17:03 ,4.3,4.59,4.54,236187648.0,981297.83,12366.86,839.17,6581.570000000001,125.03,0.0,101.1,784619.51,78.42490385966573
dafav1,1678094343,2023-03-06 16:19:03 ,4.82,4.7,4.58,216596480.0,981742.7200000001,12388.07,839.35,6595.349999999999,125.03,0.0,101.1,784619.51,78.38730512095246
dafav1,1678094463,2023-03-06 16:21:03 ,4.51,4.56,4.54,183607296.0,982203.4500000001,12399.82,839.48,6602.789999999999,125.03,0.0,101.1,784619.51,78.34973928689071
dafav1,1678094583,2023-03-06 16:23:03 ,4.21,4.49,4.52,240033792.0,982662.24,12412.68,839.6200000000001,6610.99,125.03,0.0,101.1,784619.51,78.3122149125985
dafav1,1678094703,2023-03-06 16:25:03 ,7.52,5.78,4.99,237928448.0,983104.6799999999,12433.68,839.9,6627.32,125.03,0.0,101.1,784619.51,78.27473271155318
dafav1,1678094823,2023-03-06 16:27:03 ,6.78,5.71,5.04,192765952.0,983569.67,12442.16,840.03,6633.759999999999,125.03,0.0,101.1,784619.51,78.23727545134088
dafav1,1678094943,2023-03-06 16:29:03 ,4.89,5.56,5.08,231088128.0,984026.37,12454.81,840.1500000000001,6644.349999999999,125.03,0.0,101.1,784619.51,78.19985168510111
dafav1,1678095063,2023-03-06 16:31:03 ,9.2,6.82,5.58,2703167488.0,984453.17,12479.74,840.63,6662.52,125.03,0.0,101.1,784629.0700000001,78.16419782814786
dafav1,1678095183,2023-03-06 16:33:03 ,1.24,4.56,4.9,2693742592.0,984456.0499999999,12482.05,840.69,6662.6900000000005,125.03,0.0,101.38,785103.02,78.21097296427114
dafav1,1678095303,2023-03-06 16:35:03 ,1.3,3.29,4.38,2644901888.0,984475.5299999999,12488.180000000002,840.8199999999999,6667.109999999999,125.03,0.0,101.43,785550.9400000001,78.25324930651497
dafav1,1678095423,2023-03-06 16:37:03 ,1.22,2.95,4.15,2678665216.0,984540.5800000001,12509.699999999999,841.69,6682.99,125.03,0.0,101.49,785921.6499999999,78.28218399065562
dafav1,1678095543,2023-03-06 16:39:03 ,3.24,3.0,4.0,2676281344.0,984647.23,12540.68,842.53,6705.83,125.03,0.0,101.54999999999998,786236.5,78.3010247218182
dafav1,1678095663,2023-03-06 16:41:03 ,0.99,2.12,3.55,2637529088.0,984657.29,12544.07,842.68,6708.3099999999995,125.03,0.0,101.6,786699.49,78.3458869079825
dafav1,1678095783,2023-03-06 16:43:03 ,0.65,1.76,3.25,2675757056.0,984726.03,12568.09,843.55,6725.030000000001,125.03,0.0,101.69000000000001,787063.2999999999,78.37356602721204
dafav1,1678095903,2023-03-06 16:45:03 ,2.21,1.82,3.08,2674216960.0,984804.5599999999,12593.380000000001,844.3,6743.46,125.03,0.0,101.75,787411.85,78.3987252563099
dafav1,1678096023,2023-03-06 16:47:03 ,0.3,1.21,2.7,2646388736.0,984806.4099999999,12594.16,844.35,6743.840000000001,125.03,0.0,101.82,787888.27,78.44591948997028
dafav1,1678096143,2023-03-06 16:49:03 ,0.78,1.28,2.56,2669449216.0,984877.3200000001,12618.0,845.09,6761.389999999999,125.03,0.0,101.9,788247.22,78.4728778658854
dafav1,1678096263,2023-03-06 16:51:03 ,2.54,1.57,2.49,2634444800.0,984949.13,12641.66,846.6099999999999,6779.08,125.03,0.0,101.93,788604.25,78.49957579499828
dafav1,1678096383,2023-03-06 16:53:03 ,0.35,1.06,2.19,2673582080.0,984951.73,12642.759999999998,846.69,6779.490000000001,125.03,0.0,102.05,789079.4600000001,78.54654861702018
dafav1,1678096503,2023-03-06 16:55:03 ,1.02,1.32,2.16,2676531200.0,985025.81,12671.039999999999,847.6199999999999,6796.5599999999995,125.03,0.0,102.26,789434.6799999999,78.5725505605687
dafav1,1678096623,2023-03-06 16:57:03 ,0.13,0.88,1.9,2641391616.0,985028.4800000001,12672.59,847.6500000000001,6796.699999999999,125.03,0.0,102.46,789909.79,78.6194815088057
dafav1,1678096743,2023-03-06 16:59:03 ,1.99,1.08,1.83,2582736896.0,985088.4,12692.86,848.21,6811.610000000001,125.03,0.0,102.57000000000001,790286.45,78.64951736104659
dafav1,1678096863,2023-03-06 17:01:03 ,0.49,0.92,1.69,2624200704.0,985104.04,12698.650000000001,848.5999999999999,6815.32,125.03,0.0,102.69,790737.87,78.6924645636898
dafav1,1678096983,2023-03-06 17:03:03 ,2.09,1.64,1.87,2620399616.0,985185.5,12725.380000000001,849.88,6834.87,125.03,0.0,102.81,791079.95,78.7164914453125
dafav1,1678097103,2023-03-06 17:05:03 ,6.5,3.14,2.37,176754688.0,985622.38,12741.95,850.04,6846.53,125.03,0.0,102.81,791094.65,78.68153970997933
dafav1,1678097223,2023-03-06 17:07:03 ,4.46,3.54,2.62,249942016.0,986090.93,12748.95,850.2,6850.87,125.03,0.0,102.81,791094.65,78.64400338798788
dafav1,1678097343,2023-03-06 17:09:03 ,6.39,4.86,3.23,229535744.0,986531.26,12770.02,850.3900000000001,6869.33,125.03,0.0,102.81,791094.65,78.6065052067598
dafav1,1678097463,2023-03-06 17:11:03 ,6.78,5.18,3.53,196747264.0,986989.08,12781.779999999999,850.99,6879.17,125.03,0.0,102.81,791094.65,78.5690771016747
dafav1,1678097583,2023-03-06 17:13:03 ,4.65,5.02,3.69,233762816.0,987454.1699999999,12790.030000000002,851.14,6885.72,125.03,0.0,102.81,791094.65,78.53164798174583
dafav1,1678097703,2023-03-06 17:15:03 ,7.8,6.36,4.36,247349248.0,987894.67,12811.419999999998,851.3,6903.72,125.03,0.0,102.81,791094.65,78.49425450616971
dafav1,1678097823,2023-03-06 17:17:03 ,7.27,6.26,4.54,199852032.0,988355.06,12822.36,851.46,6912.27,125.03,0.0,102.81,791094.65,78.45689740215069
dafav1,1678097943,2023-03-06 17:19:03 ,5.31,6.2,4.75,246579200.0,988817.1,12832.48,851.5699999999999,6920.03,125.03,0.0,102.81,791094.65,78.41957272988745
dafav1,1678098063,2023-03-06 17:21:03 ,7.84,7.02,5.23,233385984.0,989259.53,12852.92,851.77,6936.98,125.03,0.0,102.81,791094.65,78.3822913202038
